STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
LEC,6.1,0.00 (0.00 %),6.1,6.1,6.1,6.1,400,0 TỶ,0,0,11/03/2024
LCG,13.2,0.00 (0.00 %),13.2,13.2,13.55,13.1,5645800,74.88 TỶ,100000,1400000000,11/03/2024
ACC,12.4,0.00 (0.00 %),12.4,12.45,12.45,12.35,54200,0.67 TỶ,0,0,11/03/2024
L10,19.9,0.00 (0.00 %),19.9,19.9,19.9,19.9,0,0 TỶ,0,0,11/03/2024
ACG,40.9,0.00 (0.00 %),40.9,41.0,41.8,40.5,22900,0.94 TỶ,0,0,11/03/2024
KPF,4.5,0.00 (0.00 %),4.5,4.64,4.64,4.47,246700,1.12 TỶ,0,0,11/03/2024
NAF,15.1,0.00 (0.00 %),15.1,15.1,15.2,15.0,103100,1.56 TỶ,0,0,11/03/2024
NAV,16.1,0.00 (0.00 %),16.1,16.1,16.1,16.1,0,0 TỶ,0,0,11/03/2024
KDH,36.45,0.00 (0.00 %),36.45,36.45,37.0,36.25,5155000,188.4 TỶ,0,0,11/03/2024
KDC,63.5,0.00 (0.00 %),63.5,63.2,63.8,63.1,802300,50.85 TỶ,1240000,78740000000,11/03/2024
ITD,9.86,0.00 (0.00 %),9.86,9.86,9.9,9.61,27500,0.27 TỶ,0,0,11/03/2024
NCT,91.0,0.00 (0.00 %),91.0,91.0,91.0,90.3,5000,0.45 TỶ,0,0,11/03/2024
TRA,84.0,0.00 (0.00 %),84.0,84.0,84.0,84.0,0,0 TỶ,0,0,11/03/2024
ICT,11.8,0.00 (0.00 %),11.8,11.8,11.85,11.6,61400,0.72 TỶ,0,0,11/03/2024
HUB,18.0,0.00 (0.00 %),18.0,18.0,18.0,17.7,65100,1.16 TỶ,0,0,11/03/2024
TCM,45.0,0.00 (0.00 %),45.0,45.0,45.15,44.4,881100,39.53 TỶ,0,0,11/03/2024
HTG,32.5,0.00 (0.00 %),32.5,32.5,32.65,32.4,23700,0.77 TỶ,0,0,11/03/2024
SVI,65.8,0.00 (0.00 %),65.8,65.8,65.8,65.8,0,0 TỶ,0,0,11/03/2024
TMT,14.3,0.00 (0.00 %),14.3,14.3,14.3,14.3,100,0 TỶ,0,0,11/03/2024
NLG,41.9,0.00 (0.00 %),41.9,41.9,43.1,41.4,4199400,176.85 TỶ,0,0,11/03/2024
ASP,5.0,0.00 (0.00 %),5.0,5.05,5.05,4.97,21900,0.11 TỶ,0,0,11/03/2024
DTT,21.0,0.00 (0.00 %),21.0,21.0,21.0,21.0,0,0 TỶ,0,0,11/03/2024
PJT,10.5,0.00 (0.00 %),10.5,10.5,10.5,10.5,20000,0.21 TỶ,0,0,11/03/2024
C47,6.72,0.00 (0.00 %),6.72,6.72,6.74,6.68,154600,1.04 TỶ,0,0,11/03/2024
S4A,37.5,0.00 (0.00 %),37.5,37.5,37.5,37.5,0,0 TỶ,0,0,11/03/2024
VMD,17.25,0.00 (0.00 %),17.25,17.25,17.4,17.25,6300,0.11 TỶ,0,0,11/03/2024
